palette_name,region_inspired,description,hex_1,hex_2,hex_3,hex_4,hex_5,fabric_use,thematic_tags
"Desert Frequency",Sahara,"Mineral vibrations from ancient dunes meeting twilight radio waves—colors that hum beneath solar heat.",#D7C9AA,#B85C50,#3A2E2A,#E9B44C,#5F6F52,reversible polos,ancestral,heat-reactive
"Tokyo Gospel Fog",Japan,"Neon shrine glow diffused through rain-slick alley mist—urban prayers in electric pastels.",#F0F6FA,#B8B8FF,#6D72C3,#FF70A6,#1A1A23,flip-print T-shirts,futurism,monochrome
"Zulu Sunset Transmission",Southern Africa,"Horizons where ancestral ochre bleeds into digital violet—storytelling at celestial shift.",#FF6B35,#5B8C85,#2E294E,#E8C547,#D62246,holographic hoodies,faith-tech,UV-reactive
"Amazonian Ghost Green",Borneo Rainforest,"Unseen chlorophyll frequencies in decaying canopy light—jungle memory in spectral layers.",#1E3F20,#8A9B68,#C9D4C4,#4A7B59,#2C5D63,modular joggers,eco,ancestral
"Arctic Data Bloom",Nordic Tundra,"Glacial blue fractals thawing into server-farm pinks—frozen wisdom meeting warm circuitry.",#A8DADC,#457B9D,#F1FAEE,#E63946,#1D3557,UV-reactive hats,futurism,heat-reactive
"Caribbean Salt Hymn",Jamaican Coast,"Turquoise psalms sung over coral bone-white—oceanic devotion in liquid gradients.",#00A6A6,#EFCA08,#F49F0A,#BBDEF0,#DDF8E8,smart-dry swimwear,eco,monochrome
"Gobi Static Gold",Mongolian Steppe,"Dust-charged amber interrupting void-black—nomadic signals in electromagnetic silence.",#000000,#D4AF37,#C0BABC,#8A716A,#F5F5DC,map-coded button-downs,ancestral,heat-reactive
"Baltic Soul Mist",Scandinavian Coast,"Pearl-gray melancholy lifting into herring-silver hope—horizon lines as emotional waypoints.",#E0FBFC,#98C1D9,#3D5A80,#293241,#EE6C4D,minimalist sweatshirts,monochrome,futurism
"Andean Condor Code",Peruvian Highlands,"Terra-cotta encryption unraveling in condor-wing shadows—mountain messages in mineral language.",#774936,#8A9A5B,#C4A381,#E5D1D0,#3C1518,bandanas,ancestral,faith-tech
"Kerala Spice Signal",Indian Subcontinent,"Turmeric warnings bleeding into cardamom calm—chromatic semaphore for street prophets.",#F4A261,#2A9D8F,#E76F51,#264653,#E9C46A,tote bags,heat-reactive,poetry
"Siberian Thaw Vector",Russian Taiga,"Permafrost blue cracking into sudden birch-white—accelerated transformation in polar shifts.",#8ECAE6,#219EBC,#023047,#FFB703,#FB8500,modular trackwear,futurism,eco
"Aboriginal Dream Grid Outback Outback,"Songline reds intersecting ochre waypoints—ancestral cartography in sacred geometry.",#E27D60,#85DCB,#E8A87C,#C38D9E,#41B3A3,reversible shirts,ancestral,faith-tech
"Alpine Echo White",Swiss Alps,"Glacier-core blue wrapped in avalanche white—altitude silence amplified by valley echoes.",#F8F9FA,#DEE2FF,#E7C6FF,#C8B6FF,#B8C0FF,inside-hood linings,monochrome,futurism
"Mayan Starlight Glyph",Mesoamerica,"Obsidian ritual black holding jade star-traces—cosmic mathematics in temple pigments.",#0B132B,#1C2541,#3A506B,#5BC0BE,#6FFFE9,flip-print T-shirts,faith-tech,UV-reactive
"Patagonian Wind Script",Argentinian Steppe,"Grass-green resilience fading into guanaco-gray—wind-carved poetry on open pages.",#606C38,#283618,#FEFAE0,#DDA15E,#BC6C25,detachable trackwear,eco,ancestral
"Bantu Rhythm Blue",Congo Basin,"Indigo drumbeats syncopated with copper highlights—liquid time signatures in textile form.",#0D1B2A,#1B263B,#415A77,#778DA9,#E0E1DD,wearable bandanas,faith-tech,poetry
